Round,Killer,Killer_SteamID
0,Wake1y,76561199110169090
1,Wake1y,76561199110169090
2,JUZKEN,76561198169207904
3,-eRzp,76561199176790622
4,xVulincibl3,76561198874940170
5,JUZKEN,76561198169207904
6,xVulincibl3,76561198874940170
7,Wake1y,76561199110169090
8,-Rx--,76561198079954024
9,-eRzp,76561199176790622
10,Kuzaj669,76561199250911318
11,Phedon23,76561198183622969
12,Phedon23,76561198183622969
13,Wake1y,76561199110169090
14,Dighted,76561198814899519
15,JUZKEN,76561198169207904
16,JUZKEN,76561198169207904
17,Dighted,76561198814899519
18,xVulincibl3,76561198874940170
19,,
20,JUZKEN,76561198169207904
21,Phedon23,76561198183622969
22,JUZKEN,76561198169207904
23,Wake1y,76561199110169090
24,skrMONSTA-,76561198893622598
25,JUZKEN,76561198169207904
26,-Rx--,76561198079954024
27,Kuzaj669,76561199250911318
28,Dighted,76561198814899519
29,Dighted,76561198814899519
30,JUZKEN,76561198169207904
